,TP,TN,FP,FN,ACC,TPR,FPR
cap-shape,252.0,276.0,47.0,36.0,0.8641571194762684,0.875,0.14551083591331268
cap-surface,268.0,282.0,41.0,20.0,0.900163666121113,0.9305555555555556,0.12693498452012383
cap-color,248.0,286.0,37.0,40.0,0.8739770867430442,0.8611111111111112,0.11455108359133127
does-bruise-or-bleed,203.0,270.0,53.0,85.0,0.7741407528641571,0.7048611111111112,0.16408668730650156
gill-attachment,264.0,294.0,29.0,24.0,0.9132569558101473,0.9166666666666666,0.08978328173374613
gill-spacing,248.0,292.0,31.0,40.0,0.88379705400982,0.8611111111111112,0.09597523219814241
gill-color,252.0,301.0,22.0,36.0,0.9050736497545008,0.875,0.06811145510835913
stem-root,233.0,273.0,50.0,55.0,0.8281505728314239,0.8090277777777778,0.15479876160990713
stem-surface,234.0,286.0,37.0,54.0,0.851063829787234,0.8125,0.11455108359133127
stem-color,243.0,291.0,32.0,45.0,0.8739770867430442,0.84375,0.09907120743034056
veil-type,191.0,281.0,42.0,97.0,0.7725040916530278,0.6631944444444444,0.13003095975232198
veil-color,186.0,285.0,38.0,102.0,0.7708674304418985,0.6458333333333334,0.11764705882352941
has-ring,223.0,266.0,57.0,65.0,0.8003273322422259,0.7743055555555556,0.17647058823529413
ring-type,221.0,268.0,55.0,67.0,0.8003273322422259,0.7673611111111112,0.17027863777089783
spore-print-color,195.0,282.0,41.0,93.0,0.7806873977086743,0.6770833333333334,0.12693498452012383
habitat,234.0,273.0,50.0,54.0,0.8297872340425532,0.8125,0.15479876160990713
season,218.0,273.0,50.0,70.0,0.8036006546644845,0.7569444444444444,0.15479876160990713
