TP,TN,FP,FN,ACC,TPR,FPR
3241,5632,1191,2150,0.726461437694449,0.6011871637915044,0.17455664663637696
3253,5669,1189,2103,0.7304732274439169,0.6073562359970127,0.17337416156313795
3265,5638,1225,2086,0.7289176355002456,0.6101663240515791,0.178493370246248
3400,5674,1099,2041,0.7429179629932864,0.6248851314096674,0.16226192233869777
3302,5626,1211,2075,0.7309644670050761,0.6140970801562209,0.17712446979669447
3267,5617,1150,2180,0.7273620435565744,0.599779695245089,0.16994236737106547
3344,5674,1163,2033,0.738333060422466,0.6219081272084805,0.17010384671639608
3376,5550,1157,2131,0.7308007204846897,0.6130379516978391,0.1725063366631877
3316,5602,1210,2086,0.7301457344031439,0.6138467234357645,0.17762771579565473
3350,5565,1159,2140,0.7299001146225643,0.6102003642987249,0.17236763831052945
3380,5539,1170,2125,0.7302276076633372,0.6139872842870118,0.17439260694589356
3288,5587,1181,2158,0.7266251842148355,0.6037458685273596,0.17449763593380616
3252,5557,1166,2239,0.7212215490420829,0.5922418503004917,0.17343447865536218
3215,5664,1192,2143,0.7269526772556083,0.6000373273609556,0.17386231038506417
3358,5585,1188,2083,0.7321925659079744,0.6171659621393126,0.1754023327919681
3336,5605,1212,2061,0.732028819387588,0.6181211784324625,0.17779081707495967
3378,5612,1156,2068,0.7360406091370558,0.6202717590892398,0.17080378250591016
3410,5557,1138,2109,0.7341575241526117,0.6178655553542308,0.16997759522031367
3277,5701,1150,2086,0.7350581300147372,0.6110385977997389,0.1678587067581375
3361,5520,1161,2172,0.7271164237759947,0.6074462317007049,0.17377638078132016
3321,5678,1160,2055,0.7367774684787948,0.6177455357142857,0.16964024568587308
3335,5586,1162,2131,0.7303913541837236,0.6101353823637029,0.17219917012448133
3285,5587,1251,2091,0.7263795644342558,0.6110491071428571,0.18294823047674758
3260,5698,1164,2092,0.7334206648108728,0.609118086696562,0.16962984552608568
3352,5586,1205,2071,0.7317831996070083,0.6181080582703301,0.17744073037844205
3286,5629,1124,2175,0.7299001146225643,0.6017212964658487,0.1664445431660003
3325,5542,1237,2110,0.7259701981332897,0.6117755289788408,0.18247529134090573
3373,5566,1210,2065,0.7318650728672016,0.620264803236484,0.17857142857142858
3337,5573,1147,2157,0.7294907483215982,0.607389879868948,0.1706845238095238
3345,5668,1148,2053,0.7379236941214999,0.619673953316043,0.16842723004694835
3350,5631,1134,2099,0.7353037497953169,0.6147917048999817,0.16762749445676275
3307,5647,1161,2099,0.7330931717700999,0.6117277099519053,0.1705346650998825
3377,5603,1212,2022,0.7352218765351236,0.6254862011483608,0.17784299339691856
3325,5634,1184,2071,0.733502538071066,0.6161971830985915,0.173657964212379
3371,5610,1157,2076,0.7353037497953169,0.618872774004039,0.17097679917245456
3437,5588,1212,1977,0.7389061732438186,0.6348356113779091,0.17823529411764705
3400,5622,1143,2049,0.7386605534632389,0.6239677004955038,0.16895787139689578
3346,5619,1133,2116,0.7339937776322253,0.6125961186378616,0.1678021327014218
3295,5675,1093,2151,0.7344031439331914,0.6050312155710613,0.16149527186761228
3278,5634,1150,2152,0.7296544948419846,0.603683241252302,0.16951650943396226
3326,5622,1169,2097,0.7326019322089405,0.6133136640236032,0.17213959652481226
3294,5586,1137,2197,0.7270345505158016,0.5998907302859224,0.16912092815707275
3387,5536,1250,2041,0.73055510070411,0.6239867354458364,0.18420277040966695
3407,5638,1152,2017,0.740543638447683,0.6281342182890856,0.16966126656848307
3335,5607,1135,2137,0.7321106926477813,0.6094663742690059,0.1683476713141501
3343,5609,1156,2106,0.7329294252497135,0.6135070655166086,0.17087952697708794
3310,5656,1122,2126,0.7340756508924186,0.6089036055923474,0.16553555621127175
3401,5550,1199,2064,0.7328475519895202,0.622323879231473,0.17765594902948584
3326,5585,1144,2159,0.7295726215817914,0.6063810391978122,0.17001040273443305
3308,5638,1167,2101,0.7324381856885541,0.6115733037530042,0.17149155033063923
