,TP,TN,FP,FN,ACC,TPR,FPR
0,2763,3350,3417,2684,0.5004912395611594,0.5072516981824857,0.504950495049505
1,2687,3511,3326,2690,0.5074504666775831,0.4997210340338479,0.4864706742723417
2,2706,3418,3382,2708,0.5013918454232847,0.49981529368304395,0.4973529411764706
3,2771,3371,3424,2648,0.5028655641067628,0.5113489573722089,0.5038999264164827
4,2740,3415,3397,2662,0.5039299164892747,0.5072195483154387,0.49867880211391663
5,2737,3374,3369,2734,0.5003274930407728,0.5002741729117163,0.49962924514311136
6,2772,3340,3374,2728,0.5004093663009661,0.504,0.5025320226392612
7,2739,3389,3361,2725,0.5017193384640576,0.501281112737921,0.49792592592592594
8,2728,3432,3419,2635,0.5043392827902408,0.5086705202312138,0.4990512333965844
9,2738,3365,3358,2753,0.4996725069592271,0.4986341285740302,0.49947939907779265
10,2677,3425,3419,2693,0.4995906336990339,0.4985102420856611,0.4995616598480421
11,2772,3372,3424,2646,0.5030293106271492,0.5116279069767442,0.503825779870512
12,2668,3433,3420,2693,0.4995087604388407,0.497668345457937,0.49905151028746536
13,2627,3423,3361,2803,0.4953332241689864,0.48379373848987106,0.4954304245283019
14,2774,3366,3330,2744,0.5027018175863763,0.5027183762232693,0.49731182795698925
15,2677,3466,3345,2726,0.5029474373669559,0.4954654821395521,0.4911173102334459
16,2739,3400,3336,2739,0.5026199443261831,0.5,0.49524940617577196
17,2773,3342,3339,2760,0.5006549860815458,0.5011747695644316,0.4997754827121688
18,2721,3393,3424,2676,0.5005731128213525,0.5041689827682045,0.5022737274460907
19,2718,3478,3319,2699,0.5072867201571967,0.5017537382314935,0.48830366338090336
20,2717,3373,3344,2780,0.49860815457671526,0.4942696016008732,0.49784129819860057
21,2660,3400,3459,2695,0.4961519567709186,0.49673202614379086,0.5043009185012393
22,2696,3346,3442,2730,0.49467823808744066,0.4968669369701438,0.5070713022981732
23,2775,3368,3391,2680,0.5029474373669559,0.5087076076993584,0.5017014351235389
24,2697,3424,3384,2709,0.5011462256427051,0.49889012208657046,0.4970622796709753
25,2753,3382,3389,2690,0.5022924512854102,0.5057872496784861,0.500516910352976
26,2749,3431,3406,2628,0.5059767479941051,0.5112516273014692,0.4981717127395056
27,2683,3397,3417,2717,0.49778942197478304,0.4968518518518519,0.5014675667742883
28,2693,3482,3354,2685,0.505567381693139,0.500743770918557,0.4906377998829725
29,2805,3352,3423,2634,0.5040936630096611,0.5157198014340871,0.505239852398524
30,2708,3359,3357,2790,0.49672506959227114,0.4925427428155693,0.49985110184633713
31,2763,3332,3440,2679,0.49901752087768136,0.5077177508269018,0.5079740106320142
32,2764,3385,3352,2713,0.5034386769281153,0.5046558334854847,0.4975508386522191
33,2672,3413,3433,2696,0.49819878827574915,0.4977645305514158,0.5014607069821794
34,2734,3349,3491,2640,0.4980350417553627,0.5087458131745441,0.5103801169590644
35,2786,3400,3365,2663,0.5064679875552645,0.5112864745824922,0.49741315594974134
36,2700,3436,3383,2695,0.5023743245456034,0.5004633920296571,0.49611379967737207
37,2782,3359,3376,2697,0.5027836908465695,0.5077568899434204,0.5012620638455828
